,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
C21H32O10,34.85250763,40.95192492,43.04397552,40.82901087,50.09375766,49.0969635,46.66970566,43.93321888,44.02644712,40.73402196,46.4724748,45.37816323
C25H32O7,11.02084336,10.64623156,9.62796125,8.05661316,8.619912051,10.42736567,10.11092014,8.574348161,10.46914364,9.317445228,9.26410953,9.001240543
C22H36O9,5.994865549,5.961476661,5.866742422,5.548653226,5.657978721,7.224748415,6.424549067,6.662358114,7.336167524,4.650860824,7.446453759,6.481642869
C21H19O10N1,9.108936343,5.994087588,6.553010039,4.946074867,5.097664423,5.534294808,5.782339444,0,6.131049967,4.263673226,4.997653355,5.145570988
C20H19O9N3,7.576683894,6.547236813,6.483029428,5.157582282,5.616215844,6.122470526,6.419091884,6.100929846,6.48519849,4.23209551,5.459616413,5.79384933
C18H23O12N1,7.300339507,0,8.689542324,6.717537533,7.817953701,10.63283031,9.91345575,8.037951857,7.758917211,9.037642629,8.930610596,8.517783753
C22H23O9N1,8.770271551,7.545380151,7.6425501,0,6.930214581,7.637561753,7.664360876,6.336180063,5.607888227,7.254383208,0,6.353928363
C21H23O8N3,11.61605673,11.40041951,12.06518001,11.0145216,10.22778568,11.46633804,11.07118921,9.417395316,9.23587113,10.45457402,9.542650426,10.58903626
C19H27O11N1,9.362951014,10.03454865,11.98833769,10.17519127,12.67788921,11.91799176,10.8932965,11.19925454,9.044714972,10.02928797,10.58227384,10.15685476
C23H27O8N1,6.446614978,6.602872677,5.997279093,5.391671169,5.837745835,6.283639599,6.153674672,4.775558401,5.362408814,0,4.269095019,5.989372464
C22H27O7N3,6.125584743,5.978652378,6.660057694,6.373122721,5.728668415,6.31546252,6.289216311,5.131932004,4.754730149,4.805829825,5.272667059,4.865550134
C20H14O12,8.784563742,5.52300775,4.011857893,2.965803787,3.651302268,4.005013281,4.163842168,5.621596957,6.507532039,3.743863744,5.917575765,4.235082772
