Id	Sample_1540_DNA	Sample_1540_RNA	Sample_1541_DNA	Sample_1541_RNA	Sample_1542_DNA	Sample_1542_RNA	Sample_1543_DNA	Sample_1543_RNA	Sample_1544_DNA	Sample_1544_RNA
Bac43	1	1	3	0	7	2	0	1	2	0
Bac430	0	0	0	0	1	0	0	0	0	0
Bac433	0	0	0	0	0	0	0	0	0	0
Bac44	20	24	22	18	69	35	46	39	74	30
Bac440	0	0	0	0	0	0	0	0	0	0
Bac441	0	0	0	0	0	0	0	0	0	0
Bac443	0	0	0	0	0	0	0	0	0	0
Bac444	0	0	0	0	0	0	0	0	0	0
Bac445	0	0	0	0	0	0	0	0	0	0
Bac45	60	50	27	41	183	178	55	57	92	52
Bac450	0	0	0	0	0	0	0	0	0	0
Bac451	0	1	0	0	0	0	0	0	2	1
Bac452	0	0	0	0	0	0	0	0	0	0
Bac454	0	0	0	0	0	0	0	0	0	0
Bac46	0	0	0	0	11	1	1	0	0	2
Bac460	0	1	0	1	0	0	0	0	0	1
Bac462	0	0	0	0	0	0	0	0	0	0
Bac463	2	0	0	0	0	0	0	0	0	0
Bac465	0	0	0	0	0	0	0	0	0	0
Bac467	0	0	0	0	0	0	0	0	0	0
Bac468	0	0	0	0	0	0	0	0	0	0
Bac469	0	0	0	0	0	0	0	0	0	0
Bac47	9	1	3	0	13	3	10	2	25	2
Bac470	0	0	0	0	0	0	0	0	0	0
Bac472	0	0	0	0	0	0	0	0	0	0
Bac475	0	0	0	0	0	0	0	2	0	0
Bac476	1	0	0	0	0	0	0	0	1	0
Bac479	0	19	0	3	0	6	0	5	1	7
Bac48	12	2	22	1	33	5	16	249	16	3
Bac480	0	0	0	0	0	0	0	0	0	0
Bac481	0	0	0	0	0	0	0	0	0	0
Bac482	0	0	1	0	0	0	0	1	0	0
Bac484	0	0	0	0	0	0	0	0	0	0
Bac490	0	0	0	0	0	0	0	0	0	0
Bac491	0	0	1	0	0	0	0	0	0	0
Bac493	0	0	0	0	0	1	0	7	0	0
Bac495	0	0	0	0	0	0	0	0	0	0
Bac496	0	0	1	2	2	0	0	0	1	0
Bac499	0	0	0	0	0	0	0	0	0	0
Bac50	1	5	0	0	0	4	0	0	2	0
Bac500	0	0	0	0	0	0	0	0	0	0
Bac504	0	0	0	0	0	0	0	3	0	0
Bac505	0	0	0	0	0	0	0	0	0	0
Bac506	0	1	0	0	0	0	0	0	1	2
Bac507	0	0	0	0	0	0	0	8	0	0
